Candidate,Gender,Race,State,DistrictNo,District,Party,ICO,PrimaryResults,PrimaryStatus,RunoffResults,RunoffStatus,GeneralResults,RankedChoiceResults,GeneralStatus,PVI,Clinton2016,Trump2016,WFD,MoneyRaised,MoneySpent,ElectedOffice
Alyse Galvin,Female,White,AK,1,AK-AL,Democrat,Challenger,53.62,1,,,46.5,,0,-9,37.6,52.8,,1938095,1893010,No
Carol Hafner,Female,White,AK,1,AK-AL,Democrat,Challenger,14.97,0,,,,,,-9,37.6,52.8,,2500,2500,No
Christopher Cumings,Male,White,AK,1,AK-AL,Democrat,Challenger,8.15,0,,,,,,-9,37.6,52.8,,2500,2500,No
Dimitri Shein,Male,White,AK,1,AK-AL,Democrat,Challenger,23.26,0,,,,,,-9,37.6,52.8,,208149,95260,No
Don Young,Male,White,AK,1,AK-AL,Republican,Incumbent,70.85,1,,,53.08,,1,-9,37.6,52.8,,1227278,1350959,Yes
Jed Whittaker,Male,White,AK,1,AK-AL,Republican,Challenger,13.59,0,,,,,,-9,37.6,52.8,,2500,2500,No
"Thomas ""John"" Nelson",Male,White,AK,1,AK-AL,Republican,Challenger,15.57,0,,,,,,-9,37.6,52.8,,8388,7203,No
Lizzetta Hill McConnell,Female,Non-white,AL,1,AL-1,Democrat,Challenger,19.25,0,,,,,,-15,34.1,63.5,0.074344937,5127,6021,No
"Robert Kennedy, Jr.",Male,Non-white,AL,1,AL-1,Democrat,Challenger,80.75,1,,,36.69,,0,-15,34.1,63.5,0.074344937,46845,46845,No
Bradley Byrne,Male,White,AL,1,AL-1,Republican,Incumbent,100,1,,,63.24,,1,-15,34.1,63.5,0.074344937,1428041,783860,Yes
Audri Scott Williams,Female,Non-white,AL,2,AL-2,Democrat,Challenger,39.55,0,,,,,,-16,33,64.9,0.069043711,35365,35210,No
Tabitha Isner,Female,White,AL,2,AL-2,Democrat,Challenger,60.45,1,,,38.38,,0,-16,33,64.9,0.069043711,519145,519145,No
Martha Roby,Female,White,AL,2,AL-2,Republican,Incumbent,39,Runoff,67.95,1,61.43,,1,-16,33,64.9,0.069043711,2549806,2200968,Yes
Barry Moore,Male,White,AL,2,AL-2,Republican,Challenger,19.3,0,,,,,,-16,33,64.9,0.069043711,154582,149654,Yes
Bobby Bright,Male,White,AL,2,AL-2,Republican,Challenger,28.1,Runoff,32.05,0,,,,-16,33,64.9,0.069043711,419065,419065,Yes
Rich Hobson,Male,White,AL,2,AL-2,Republican,Challenger,7.5,0,,,,,,-16,33,64.9,0.069043711,76107,75433,No
Tommy Amason,Male,White,AL,2,AL-2,Republican,Challenger,6.1,0,,,,,,-16,33,64.9,0.069043711,15380,14007,No
Adia McClellan Winfrey,Female,Non-white,AL,3,AL-3,Democrat,Challenger,34.26,0,,,,,,-16,32.3,65.3,0.060245477,14535,9755,No
Mallory Hagan,Female,White,AL,3,AL-3,Democrat,Challenger,65.74,1,,,36.2,,0,-16,32.3,65.3,0.060245477,435027,428949,No
